phon_phonemizer,phon_ipa
n,n̪
r,ɾ
z,z̪
 s, s̪
t ,t̪ 
tː,t̪
dː,d̪
d ,d̪ 
l,lʲ
ɫ,l̪ˠ
kː,k
e,eː
ɛ,e
i,iː
ɪ,i
ɔ,o
oː,o
ʊː,u
ʊ,u
ø,y
yː,y
æ,e
ɯɯ,ɯ
œː,œ
