S_ArtGruppe.ArtikelGruppe;S_ArtGruppeSpr.Bezeichnung;S_ArtGruppe.Planung;S_ArtGruppe.Suchbegriff;S_ArtGruppe.Selektion;S_ArtGruppe.WatchAvgPrice;S_ArtGruppe.AvgPriceVariance;S_ArtGruppe.AvgPriceSaveInterval;S_ArtGruppe.SB_ProduktManager;S_ArtGruppe.Spanne;S_ArtGruppe.StatistikME;S_ArtGruppe.UmsatzFaktor;S_ArtGruppe.RohertragsFaktor;S_ArtGruppe.PlanerfassungsArt;S_ArtGruppe.Erfassungsart;S_ArtGruppe.Lagergruppe;S_ArtGruppe.Planhistorie;S_ArtGruppe.Planungshorizont;S_ArtGruppe.KWPlanhorizont;S_ArtGruppe.Planpreis;S_ArtGruppe.Detailplanung;S_ArtGruppe.PrognoseVerfahren;S_ArtGruppe.Signal;S_ArtGruppe.SignalWert;S_ArtGruppe.Delta_Glaettung;S_ArtGruppe.Glaettung;S_ArtGruppe.u_PriceChangeUpperLimit;S_ArtGruppe.u_PriceChangeLowerLimit;USM_CINumberTemplate.USM_CINumberTemplate_ID
;;yes;;;no;0;2;;0;0;1;1;no;0;0;12;12;0;0;no;0;0;0;0;0;999;-999;
Column;Column Name;Description / Remark;Location in Proalpha;Data Type;Format
1;Teilegruppe;Product Line;S_ArtGruppe.ArtikelGruppe;CHARACTER;x(6);
2;Bezeichnung;Description Product Line;S_ArtGruppeSpr.Bezeichnung;CHARACTER;x(30);
3;Planung;Planning;S_ArtGruppe.Planung;LOGICAL;ja/nein;
4;Suchbegriff;Search Term;S_ArtGruppe.Suchbegriff;CHARACTER;x(12);
5;Selektion;Selection Product Line;S_ArtGruppe.Selektion;CHARACTER;x(20);
6;DPr überwachen;Monitor AvP;S_ArtGruppe.WatchAvgPrice;LOGICAL;ja/nein;
7;Abweichung DPr %;Variance AvP %;S_ArtGruppe.AvgPriceVariance;INTEGER;zz9%;
8;DPr speichern;Save AvgPrice;S_ArtGruppe.AvgPriceSaveInterval;INTEGER;9;
9;Produktmanager;Product Manager;S_ArtGruppe.SB_ProduktManager;CHARACTER;x(12);
10;Mindestspanne;Gross Margin;S_ArtGruppe.Spanne;DECIMAL;zz9.99%;
11;statistische ME;Statistical Unit of Measure;S_ArtGruppe.StatistikME;INTEGER;zz9;
12;Umsatzfaktor;Sales Factor;S_ArtGruppe.UmsatzFaktor;DECIMAL;9.99;
13;Rohertragsfakt;Gross Profit Factor;S_ArtGruppe.RohertragsFaktor;DECIMAL;9.99;
14;Planerfassungsart;Planning Type;S_ArtGruppe.PlanerfassungsArt;LOGICAL;Menge/Wert;
15;Erfassungsart;Entry Type;S_ArtGruppe.Erfassungsart;INTEGER;zz9;
16;Dispobereich;MRP Area;S_ArtGruppe.Lagergruppe;INTEGER;zzzzzzz9;
17;Planhistorie;Planning History;S_ArtGruppe.Planhistorie;INTEGER;z9;
18;Planhorizont;Planned Horizon;S_ArtGruppe.Planungshorizont;INTEGER;z9;
19;KWPlanhorizont;CW Planned Horizon;S_ArtGruppe.KWPlanhorizont;INTEGER;z9;
20;Planpreis;Planned Price;S_ArtGruppe.Planpreis;DECIMAL;z,zzz,zz9.999;
21;Detailplanung;Detailed Planning;S_ArtGruppe.Detailplanung;LOGICAL;ja/nein;
22;PrognoseVerf;Forecasting Method;S_ArtGruppe.PrognoseVerfahren;INTEGER;9;
23;Signal;Signal;S_ArtGruppe.Signal;INTEGER;9;
24;Signalwert;Signal Value;S_ArtGruppe.SignalWert;DECIMAL;9.99;
25;Delta-Glättung;Delta Smoothing;S_ArtGruppe.Delta_Glaettung;DECIMAL;9.99;
26;Glättung;Smoothing;S_ArtGruppe.Glaettung;DECIMAL;9.99;
27;Obergrenze;Upper Limit Price Change;S_ArtGruppe.u_PriceChangeUpperLimit;DECIMAL;zz9%;
28;Untergrenze;Lower Limit Price Change;S_ArtGruppe.u_PriceChangeLowerLimit;DECIMAL;-zz9%;
29;Vorlage;Copy Template Master Files;USM_CINumberTemplate.USM_CINumberTemplate_ID;CHARACTER;x(20);
