IA_Statistik.AuswArt;IA_Statistik.Schluessel_1;IA_Statistik.Schluessel_2;IA_Statistik.Jahr;IA_Statistik.PeriodenTyp;IA_Statistik.Periode;IA_Statistik.AB;IA_Statistik.ABarchiv;IA_Statistik.ABMSME;IA_Statistik.ABSME;IA_Statistik.AEFr;IA_Statistik.AEGewKo;IA_Statistik.AEGewLa;IA_Statistik.AEGewSt;IA_Statistik.AEKo;IA_Statistik.AELa;IA_Statistik.AEMKo;IA_Statistik.AEMLa;IA_Statistik.AEMSME;IA_Statistik.AEMSt;IA_Statistik.AESME;IA_Statistik.AESt;IA_Statistik.AEZu;IA_Statistik.AnzAnf;IA_Statistik.AnzAng;IA_Statistik.AnzAngPos;IA_Statistik.AnzAuf;IA_Statistik.AnzAufPos;IA_Statistik.AnzBest;IA_Statistik.AnzGU;IA_Statistik.AnzGUPos;IA_Statistik.AnzLPBel;IA_Statistik.AnzLPGes;IA_Statistik.AnzLS;IA_Statistik.AnzLSPos;IA_Statistik.AnzOffAuf;IA_Statistik.AnzOffAufPos;IA_Statistik.AnzRe;IA_Statistik.AnzRePos;IA_Statistik.AnzWE;IA_Statistik.BAGewKo;IA_Statistik.BAGewLa;IA_Statistik.BAGewSt;IA_Statistik.BAKo;IA_Statistik.BALa;IA_Statistik.BAMKo;IA_Statistik.BAMLa;IA_Statistik.BAMSME;IA_Statistik.BAMSt;IA_Statistik.BASt;IA_Statistik.BAZu;IA_Statistik.BB;IA_Statistik.EKGewKo;IA_Statistik.EKGewLa;IA_Statistik.EKGewSt;IA_Statistik.EKKo;IA_Statistik.EKLa;IA_Statistik.EKMKo;IA_Statistik.EKMLa;IA_Statistik.EKMSME;IA_Statistik.EKMSt;IA_Statistik.EKPlan;IA_Statistik.EKSt;IA_Statistik.EKZu;IA_Statistik.Eurokonvertierung;IA_Statistik.FO;IA_Statistik.KapIstBea;IA_Statistik.KapIstRue;IA_Statistik.KapKal;IA_Statistik.KapSolBea;IA_Statistik.KapSolRue;IA_Statistik.LB;IA_Statistik.LBVKE;IA_Statistik.LBVKP;IA_Statistik.MaVbrVKE;IA_Statistik.MaVbrVKP;IA_Statistik.MaVerbr;IA_Statistik.PA;IA_Statistik.PAM;IA_Statistik.PFKAus;IA_Statistik.PFKGut;IA_Statistik.PlanVt;IA_Statistik.PZ;IA_Statistik.PZM;IA_Statistik.ReKo;IA_Statistik.ReLa;IA_Statistik.REPlan;IA_Statistik.ReSME;IA_Statistik.ReSt;IA_Statistik.VB;IA_Statistik.VKFr;IA_Statistik.VKGewKo;IA_Statistik.VKGewLa;IA_Statistik.VKGewSt;IA_Statistik.VKKo;IA_Statistik.VKLa;IA_Statistik.VKMKO;IA_Statistik.VKMLa;IA_Statistik.VKMSME;IA_Statistik.VKMSMEPlan;IA_Statistik.VKMSt;IA_Statistik.VKPlan;IA_Statistik.VKPRNL;IA_Statistik.VKSME;IA_Statistik.VKSt;IA_Statistik.VKZu;IA_Statistik.SBM_ProfitCenter_ID
;;;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;no;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;?;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Column;Column Name;Description / Remark;Location in Proalpha;Data Type;Format
1;Auswertungsart;Analysis Category;IA_Statistik.AuswArt;CHARACTER;x(3);
2;Schlüssel;Key 1;IA_Statistik.Schluessel_1;CHARACTER;x(60);
3;Schlüssel 2;Key 2;IA_Statistik.Schluessel_2;CHARACTER;x(60);
4;Jahr;Year;IA_Statistik.Jahr;INTEGER;9999;
5;Periodentyp;Period Type;IA_Statistik.PeriodenTyp;INTEGER;9;
6;Periode;Period;IA_Statistik.Periode;INTEGER;zz9;
7;Auftragsbestand;Order Backlog;IA_Statistik.AB;DECIMAL;zzz,zzz,zz9.99-;
8;archivierter AB;CSOArchived;IA_Statistik.ABarchiv;DECIMAL;zzz,zzz,zz9.99-;
9;AB Menge (SME);Order Backlog in ScUM;IA_Statistik.ABMSME;DECIMAL;-zzz,zzz,zz9.999;
10;AB Wert (SME);Order Backlog Value in ScUM;IA_Statistik.ABSME;DECIMAL;zzz,zzz,zz9.99-;
11;AE Fracht;OE Freight;IA_Statistik.AEFr;DECIMAL;zzz,zzz,zz9.99-;
12;AE Gewicht Komm;OE Weight CRO;IA_Statistik.AEGewKo;DECIMAL;->>>,>>>,>>9.99;
13;AE Gewicht Lager;OE Weight Storage Area;IA_Statistik.AEGewLa;DECIMAL;->>>,>>>,>>9.99;
14;AE Gewicht Strecke;OE Weight Drop Shipment;IA_Statistik.AEGewSt;DECIMAL;->>>,>>>,>>9.99;
15;AE Kommission;OE CRO;IA_Statistik.AEKo;DECIMAL;zzz,zzz,zz9.99-;
16;AE Lager;OE Storage Area;IA_Statistik.AELa;DECIMAL;zzz,zzz,zz9.99-;
17;AE Menge Komm;OE Quantity CRO;IA_Statistik.AEMKo;DECIMAL;-zzz,zzz,zz9.999;
18;AE Menge Lager;OE Quantity Storage Area;IA_Statistik.AEMLa;DECIMAL;-zzz,zzz,zz9.999;
19;AE Menge SME;OE Quantity ScUM;IA_Statistik.AEMSME;DECIMAL;-zzz,zzz,zz9.999;
20;AE Menge Str;OE Quantity Drop Shipment;IA_Statistik.AEMSt;DECIMAL;-zzz,zzz,zz9.999;
21;AE in SME;OE in ScUM;IA_Statistik.AESME;DECIMAL;zzz,zzz,zz9.99-;
22;AE Strecke;OE DropShp;IA_Statistik.AESt;DECIMAL;zzz,zzz,zz9.99-;
23;AE Kopfzuschlag;OE Header Surcharges;IA_Statistik.AEZu;DECIMAL;zzz,zzz,zz9.99-;
24;Anzahl Anfragen;Number of Requests for Quote;IA_Statistik.AnzAnf;INTEGER;->,>>>,>>9;
25;Anzahl Angebote;Number of Quotes;IA_Statistik.AnzAng;INTEGER;->,>>>,>>9;
26;# AngebotsPos;Number of Quote Lines;IA_Statistik.AnzAngPos;INTEGER;->,>>>,>>9;
27;Anzahl Aufträge;Number of Orders;IA_Statistik.AnzAuf;INTEGER;->,>>>,>>9;
28;# AuftragsPos;Number of Order Lines;IA_Statistik.AnzAufPos;INTEGER;->,>>>,>>9;
29;# Bestellungen;Number of Purchase Orders;IA_Statistik.AnzBest;INTEGER;->,>>>,>>9;
30;# Gutschriften;Number of Credit Memos;IA_Statistik.AnzGU;INTEGER;->,>>>,>>9;
31;# GutschrPos;Number of Credit Lines;IA_Statistik.AnzGUPos;INTEGER;->,>>>,>>9;
32;# Lagerpl bel;Number of Storage Locations Occupied;IA_Statistik.AnzLPBel;INTEGER;->,>>>,>>9;
33;# Lagerpl ges;Number of Storage Locations Total;IA_Statistik.AnzLPGes;INTEGER;->,>>>,>>9;
34;# Lieferscheine;Number of Shipping Documents;IA_Statistik.AnzLS;INTEGER;->,>>>,>>9;
35;# LSPos;Number of Shipping Document Lines;IA_Statistik.AnzLSPos;INTEGER;->,>>>,>>9;
36;# offene Aufträge;Number of Open Orders;IA_Statistik.AnzOffAuf;INTEGER;->,>>>,>>9;
37;# off AuftragsPos;Number of Open Order Lines;IA_Statistik.AnzOffAufPos;INTEGER;->,>>>,>>9;
38;# Rechnungen;Number of Invoices;IA_Statistik.AnzRe;INTEGER;->,>>>,>>9;
39;# RechnungsPos;Number of Invoice Lines;IA_Statistik.AnzRePos;INTEGER;->,>>>,>>9;
40;# Wareneingänge;Number of Stock Receipts;IA_Statistik.AnzWE;INTEGER;->,>>>,>>9;
41;BA Gew Komm;POL Weight CRO;IA_Statistik.BAGewKo;DECIMAL;->>>,>>>,>>9.99;
42;BA Gew Lager;POL Weight Storage Area;IA_Statistik.BAGewLa;DECIMAL;->>>,>>>,>>9.99;
43;BA Gew Strecke;POL Weight Drop Shipment;IA_Statistik.BAGewSt;DECIMAL;->>>,>>>,>>9.99;
44;BA Kommission;POL CRO;IA_Statistik.BAKo;DECIMAL;zzz,zzz,zz9.99-;
45;BA Lager;POL Storage Area;IA_Statistik.BALa;DECIMAL;zzz,zzz,zz9.99-;
46;BA Menge Komm;POL Quantity CRO;IA_Statistik.BAMKo;DECIMAL;-zzz,zzz,zz9.999;
47;BA Menge Lager;POL Quantity Storage Area;IA_Statistik.BAMLa;DECIMAL;-zzz,zzz,zz9.999;
48;BA SME;PO Log in ScUM;IA_Statistik.BAMSME;DECIMAL;-zzz,zzz,zz9.999;
49;BA Menge Strecke;POL Qty DropShip;IA_Statistik.BAMSt;DECIMAL;-zzz,zzz,zz9.999;
50;BA Strecke;POL Drop Shipment;IA_Statistik.BASt;DECIMAL;zzz,zzz,zz9.99-;
51;BA Kopfzuschlag;POL Surch;IA_Statistik.BAZu;DECIMAL;zzz,zzz,zz9.99-;
52;Bestellbestand;On Order Quantity;IA_Statistik.BB;DECIMAL;zzz,zzz,zz9.99-;
53;EK Gew Komm;Pu Weight CRO;IA_Statistik.EKGewKo;DECIMAL;->>>,>>>,>>9.99;
54;EK Gew Lager;Pu Weight Storage Area;IA_Statistik.EKGewLa;DECIMAL;->>>,>>>,>>9.99;
55;EK Gew Strecke;Pu Wgt Drop Ship;IA_Statistik.EKGewSt;DECIMAL;->>>,>>>,>>9.99;
56;EK Kommission;Pu CRO;IA_Statistik.EKKo;DECIMAL;zzz,zzz,zz9.99-;
57;EK Lager;Pu Storage Area;IA_Statistik.EKLa;DECIMAL;zzz,zzz,zz9.99-;
58;EK Menge Komm;Pu Quantity CRO;IA_Statistik.EKMKo;DECIMAL;-zzz,zzz,zz9.999;
59;EK Menge Lager;Pu Quantity Storage Area;IA_Statistik.EKMLa;DECIMAL;-zzz,zzz,zz9.999;
60;EK SME;Pu in ScUM;IA_Statistik.EKMSME;DECIMAL;-zzz,zzz,zz9.999;
61;EK Menge Strecke;Pu Quantity Drop Shipment;IA_Statistik.EKMSt;DECIMAL;-zzz,zzz,zz9.999;
62;EK Plan;Pu Budgeted Values Total;IA_Statistik.EKPlan;DECIMAL;zzz,zzz,zz9.99-;
