M_Aktivitaet.Aktivitaet;M_Aktivitaet.AktArt;M_Aktivitaet.Suchbegriff;M_Aktivitaet.verbunden;M_Aktivitaet.BasisRessArt;M_Aktivitaet.BasisRessource;M_Aktivitaet.RessPos;M_Aktivitaet.Ruestaktivitaet;M_Aktivitaet.TR;M_Aktivitaet.ZeitEinheitTr;M_Aktivitaet.TE;M_Aktivitaet.ZeitEinheitTe;M_Aktivitaet.ZeitMengenEinheit;M_Aktivitaet.ZeitEinheitZeitraum;M_Aktivitaet.BasisIntensitaet;M_Aktivitaet.ProdMngFaktor;M_Aktivitaet.MengeTeillos;M_Aktivitaet.Unterbrechbar;M_Aktivitaet.AnzahlUnterbrechungen;M_Aktivitaet.Zeitraum;M_Aktivitaet.minZwischenZeit;M_Aktivitaet.ZwischenzeitZE;M_Aktivitaet.RessGruppe;M_Aktivitaet.AltGruppe;M_Aktivitaet.RueckmeldeKz;M_Aktivitaet.KostenArtenGruppe;M_Aktivitaet.LohnArt;M_Aktivitaet.MehrMaschFaktor;M_Aktivitaet.AnzahlRMS;M_Aktivitaet.AnzahlLS;M_Aktivitaet.Pruefplan;M_Aktivitaet.NcProgrammnummer;M_Aktivitaet.AktKlasse;M_Aktivitaet.Artikel;M_Aktivitaet.Lieferant;M_Aktivitaet.Lieferzeit;M_Aktivitaet.konsignationslager;M_Aktivitaet.Lieferzeiteinheit;M_Aktivitaet.FormelDec11;M_Aktivitaet.FormelDec12;M_Aktivitaet.FormelDec13;M_Aktivitaet.FormelDec21;M_Aktivitaet.FormelDec22;M_Aktivitaet.FormelInt3;M_Aktivitaet.FormelInt4;M_Aktivitaet.FormelInt5;M_Aktivitaet.FormelInt1;M_Aktivitaet.FormelInt2;M_Aktivitaet.FormelPks3;M_Aktivitaet.FormelPks4;M_Aktivitaet.FormelPks5;M_Aktivitaet.FormelPks6;M_Aktivitaet.FormelPks7;M_Aktivitaet.FormelPks8;M_Aktivitaet.FormelPks9;M_Aktivitaet.FormelPks10;M_Aktivitaet.FormelPks1;M_Aktivitaet.FormelPks2;M_Aktivitaet.Mengenfaktor;M_Aktivitaet.AktFormel;M_Aktivitaet.Mindestmenge;M_Aktivitaet.Ueberlieferung;M_Aktivitaet.Unterlieferung;M_Aktivitaet.CheckTimeQM;M_Aktivitaet.CheckTypeQM;M_Aktivitaet.Gewicht;M_Aktivitaet.LieferzeitMenge;M_Aktivitaet.ZeitMengenEinheitLZ;M_Aktivitaet.SQUnitFactor;M_Aktivitaet.Listenpreis;SBM_CustomsTariffNo.SBM_CustomsTariffNo_ID;M_Aktivitaet.CustomsTariffOrigin;M_AktivitaetEK.Preis;M_AktivitaetEK.Wert_RZ_1;M_AktivitaetEK.Wert_RZ_2;M_AktivitaetEK.Proz_RZ_1;M_AktivitaetEK.Proz_RZ_2;M_AktivitaetEK.Proz_RZ_3;M_Aktivitaet.PackInstruct;M_Aktivitaet.FillQuantity;M_Aktivitaet.ProdMngFaktor;M_Aktivitaet.Zeitwahl;M_Aktivitaet.Zeit;M_Aktivitaet.ZeitEinheit
;0;;no;0;;0;no;0;1;0;1;0;1;1;1;0;no;1;0;0;1;no;;0;;;100;1;1;;;;;0;0;?;4;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;1;0;0;100;100;None;LotSize;0;0;0;1;yes;;1;0;0;0;0;0;0;;0;1;no;0;1
Column;Column Name;Description / Remark;Location in Proalpha;Data Type;Format
1;Aktivität;Operation;M_Aktivitaet.Aktivitaet;CHARACTER;x(20);
2;Aktivitätenart;Operation Category;M_Aktivitaet.AktArt;INTEGER;99;
3;Suchbegriff;Search Term;M_Aktivitaet.Suchbegriff;CHARACTER;x(12);
4;Produktion/Fremd;Operation Production Coupled with External Operation;M_Aktivitaet.verbunden;LOGICAL;ja/nein;
5;Ressourcenart;Basic Resource Category;M_Aktivitaet.BasisRessArt;INTEGER;99;
6;Basisressource;Basic Resource;M_Aktivitaet.BasisRessource;CHARACTER;x(20);
7;Melderessource;Reporting Resource;M_Aktivitaet.RessPos;INTEGER;zzz9;
8;Rüstaktivität;Setup Operation;M_Aktivitaet.Ruestaktivitaet;LOGICAL;ja/nein;
9;Rüstzeit;Setup Time (ts);M_Aktivitaet.TR;DECIMAL;zzz,zz9.99;
10;Zeiteinheit tr;Time Unit ts;M_Aktivitaet.ZeitEinheitTr;CHARACTER;9;
11;Stückzeit;Unit Time (tu);M_Aktivitaet.TE;DECIMAL;zzz,zz9.99;
12;Zeiteinheit te;Time Unit tu;M_Aktivitaet.ZeitEinheitTe;CHARACTER;9;
13;Zeitmengeneinheit;Time Unit of Measure;M_Aktivitaet.ZeitMengenEinheit;INTEGER;zz9;
14;Zeiteinheit ZR;Period Time Unit;M_Aktivitaet.ZeitEinheitZeitraum;CHARACTER;9;
15;Intensität;Basic Intensity;M_Aktivitaet.BasisIntensitaet;DECIMAL;zzz,zz9.99;
16;ProdMengenfaktor;Proportional Work Order Quantity per Operation;M_Aktivitaet.ProdMngFaktor;DECIMAL;zzz,zz9.9999999;
17;Menge Teillos;Quantity Sublot;M_Aktivitaet.MengeTeillos;INTEGER;zzz,zz9;
18;unterbrechbar;Interruptible;M_Aktivitaet.Unterbrechbar;LOGICAL;ja/nein;
19;Unterbrechungen;Number of Interruptions;M_Aktivitaet.AnzahlUnterbrechungen;INTEGER;zz9;
20;Zeitraum;Period in Days;M_Aktivitaet.Zeitraum;DECIMAL;zzz,zz9.99;
21;minimaler Abstand;Min Interval Time;M_Aktivitaet.minZwischenZeit;DECIMAL;zzz,zz9.99;
22;ZE Zwischenzeit;Time Unit Intermediate Time;M_Aktivitaet.ZwischenzeitZE;CHARACTER;9;
23;Ressourcengruppe;Resource Group;M_Aktivitaet.RessGruppe;LOGICAL;ja/nein;
24;Alternativgruppe;Alternate Group;M_Aktivitaet.AltGruppe;CHARACTER;x(20);
25;RückmeldeKz;Data Entry ID;M_Aktivitaet.RueckmeldeKz;INTEGER;z9;
26;Kostenartengruppe;Cost Item Group;M_Aktivitaet.KostenArtenGruppe;CHARACTER;x(6);
27;Lohnart;Labor Category;M_Aktivitaet.LohnArt;CHARACTER;x(3);
28;MehrMaschFaktor;Proportional Working Time per Machine;M_Aktivitaet.MehrMaschFaktor;DECIMAL;zz9%;
29;# Rückmeldescheine;Number of Prints Data Entry Tag;M_Aktivitaet.AnzahlRMS;INTEGER;zz9;
30;# Lohnscheine;Number of Prints Time Ticket;M_Aktivitaet.AnzahlLS;INTEGER;zz9;
31;Prüfplan;Testing Plan;M_Aktivitaet.Pruefplan;CHARACTER;x(20);
32;NCProgrammNr;NC Program Number;M_Aktivitaet.NcProgrammnummer;CHARACTER;x(20);
33;Aktivitätenklasse;Operation Class;M_Aktivitaet.AktKlasse;CHARACTER;x(20);
34;Teil;Part;M_Aktivitaet.Artikel;CHARACTER;x(20);
