E_ArtLiefRabStaffel.Artikel;E_ArtLiefRabStaffel.Lieferant;E_ArtLiefRabStaffel.gueltig_ab;E_ArtLiefRabStaffel.gueltig_bis;E_ArtLiefRabStaffel.Waehrung;E_ArtLiefRabDatum.StaffelGruppe;E_ArtLiefRabStaffel.StaffelMenge;E_ArtLiefRabStaffel.proz_RZ_1;E_ArtLiefRabStaffel.proz_RZ_2;E_ArtLiefRabStaffel.proz_RZ_3;E_ArtLiefRabStaffel.proz_RZ_4;E_ArtLiefRabStaffel.proz_RZ_5;E_ArtLiefRabStaffel.Wert_RZ_1;E_ArtLiefRabStaffel.Wert_RZ_2;E_ArtLiefRabStaffel.Wert_RZ_3;E_ArtLiefRabStaffel.Wert_RZ_4;E_ArtLiefRabStaffel.Wert_RZ_5;c_XXXtlbauto
;0;?;?;0;;0;0;0;0;0;0;0;0;0;0;0;
Column;Column Name;Description / Remark;Location in Proalpha;Data Type;Format
1;Teil;Part;E_ArtLiefRabStaffel.Artikel;CHARACTER;x(20);
2;Lieferant;Supplier;E_ArtLiefRabStaffel.Lieferant;INTEGER;zzzzzzzz;
3;gültig ab;Valid From;E_ArtLiefRabStaffel.gueltig_ab;DATE;99.99.9999;
4;gültig bis;Valid Until;E_ArtLiefRabStaffel.gueltig_bis;DATE;99.99.9999;
5;Währung;Currency;E_ArtLiefRabStaffel.Waehrung;INTEGER;zz9;
6;Staffelgruppe;Price Schedule Group;E_ArtLiefRabDatum.StaffelGruppe;CHARACTER;x(6);
7;ab Menge;From Quantity;E_ArtLiefRabStaffel.StaffelMenge;DECIMAL;zz,zzz,zz9;
8;% R/Z;Percentage Discount/Surcharge 1;E_ArtLiefRabStaffel.proz_RZ_1;DECIMAL;-z9.99%;
9;% R/Z 2;Percentage Discount/Surcharge 2;E_ArtLiefRabStaffel.proz_RZ_2;DECIMAL;-z9.99%;
10;% R/Z 3;Percentage Discount/Surcharge 3;E_ArtLiefRabStaffel.proz_RZ_3;DECIMAL;-z9.99%;
11;% R/Z 4;Percentage Discount/Surcharge 4;E_ArtLiefRabStaffel.proz_RZ_4;DECIMAL;-z9.99%;
12;% R/Z 5;Percentage Discount/Surcharge 5;E_ArtLiefRabStaffel.proz_RZ_5;DECIMAL;-z9.99%;
13;wertm R/Z;Value Discount/Surcharge 1;E_ArtLiefRabStaffel.Wert_RZ_1;DECIMAL;z,zzz,zz9.99-;
14;wertm R/Z 2;Value Discount/Surcharge 2;E_ArtLiefRabStaffel.Wert_RZ_2;DECIMAL;z,zzz,zz9.99-;
15;wertm R/Z 3;Value Discount/Surcharge 3;E_ArtLiefRabStaffel.Wert_RZ_3;DECIMAL;z,zzz,zz9.99-;
16;wertm R/Z 4;Value Discount/Surcharge 4;E_ArtLiefRabStaffel.Wert_RZ_4;DECIMAL;z,zzz,zz9.99-;
17;wertm R/Z 5;Value Discount/Surcharge 5;E_ArtLiefRabStaffel.Wert_RZ_5;DECIMAL;z,zzz,zz9.99-;
18;Automatically Create Part-Suppliers Relationship;;;;;
