MS_ProdAkte.Seriennummer;MS_ProdAkte.SNRArt;MS_ProdAkte.Akte;MS_ProdAkte.Sachbearbeiter;MS_ProdAkte.VerteilerGruppe;MS_ProdAkte.FormularNr;MS_ProdAkte.FormularAnzahl;MS_ProdAkte.Bemerkung;MS_ProdAkte.Zusatzakte;MS_ProdAkte.StatusAenderung;MS_ProdAkte.IndexNr;MS_ProdAkte.AenderungsNummer;MS_ProdAkte.RessArt;MS_ProdAkte.Ressource
;;0;;;0;1;;no;?;;;0;
Column;Column Name;Description / Remark;Location in Proalpha;Data Type;Format
1;Seriennummer;Serial Number;MS_ProdAkte.Seriennummer;CHARACTER;x(20);
2;SNRArt;Serial Number Category;MS_ProdAkte.SNRArt;CHARACTER;x(6);
3;Akte;File;MS_ProdAkte.Akte;INTEGER;zzzzzzz9;
4;Sachbearbeiter;Specialist;MS_ProdAkte.Sachbearbeiter;CHARACTER;x(12);
5;Verteilergruppe;Work Group;MS_ProdAkte.VerteilerGruppe;CHARACTER;x(6);
6;Formularnummer;Form Number;MS_ProdAkte.FormularNr;INTEGER;z9;
7;Anzahl Formulare;Number of Forms;MS_ProdAkte.FormularAnzahl;INTEGER;9;
8;Bemerkung;Remark;MS_ProdAkte.Bemerkung;CHARACTER;x(255);
9;Zusatzakte;Additional File;MS_ProdAkte.Zusatzakte;LOGICAL;Zusatzakte/Hauptakte;
10;Statusänderung;Status Update;MS_ProdAkte.StatusAenderung;DATE;99.99.9999;
11;Indexnummer;Index Number;MS_ProdAkte.IndexNr;CHARACTER;xxx;
12;Änderungsnummer;Engineering Change Number;MS_ProdAkte.AenderungsNummer;CHARACTER;x(10);
13;Ressourcenart;Resource Category;MS_ProdAkte.RessArt;INTEGER;99;
14;Ressource;Resource;MS_ProdAkte.Ressource;CHARACTER;x(20);
