BOM_Mapping.BOM_Mapping_ID;BOM_Participant.BOM_Participant_Id;BOM_AffiliateType.Receiver_BOM_Participant_Id;BOM_Mapping.DefaultType;BOM_Mapping.DefaultValue;DBM_ShortDescription.ShortDesc1
;;;4;;
Column;Column Name;Description / Remark;Location in Proalpha;Data Type;Format
1;Mapping;Mapping ID;BOM_Mapping.BOM_Mapping_ID;CHARACTER;x(60);
2;Teilnehmer;Participant ID;BOM_Participant.BOM_Participant_Id;CHARACTER;x(20);
3;Empfänger;Partner ID;BOM_AffiliateType.Receiver_BOM_Participant_Id;CHARACTER;x(40);
4;Default-Typ;Mapping Default Type;BOM_Mapping.DefaultType;INTEGER;z9;
5;Default-Wert;Mapping Default Value;BOM_Mapping.DefaultValue;CHARACTER;x(60);
6;Bezeichnung;Description 1;DBM_ShortDescription.ShortDesc1;CHARACTER;x(80);
