S_Konto.Konto;S_Konto.KontenArt;S_KontoSpr.Bezeichnung;S_Konto.Suchbegriff;S_Konto.Selektion;S_Konto.Direkt_Bebuchbar;S_Konto.SammelBuchung;S_Konto.OP_Fuehrung;S_Konto.ZusatzEB;S_Konto.Liquiditaet;S_Konto.Liquiditaetstag;S_Konto.Eingabezwang_Anbu;S_Konto.Eingabezwang_KoRe;S_Konto.KostenStelle;S_Konto.KostenTraeger;S_Konto.ErgebnisTraeger;S_Konto.AnBu;S_KontoSteuer.gueltig_ab;SBM_TaxTerritory.SBM_TaxTerritory_ID;S_Steuer.Steuer;S_Konto.Waehrung;BBM_WflWorkGroup.BBM_WflWorkGroup_ID;S_Konto.StammKostenStelle;S_Konto.SammelKonto;BBM_WflLockStatus.BBM_WflLockStatus_ID;S_Konto.BudgetMGA;S_Konto.Archived;S_Konto.AccrualAccount;SBM_EvaluationAccount.Waehrung;SBM_EvaluationAccount.EvaluationAccount;S_Konto.DatevAuto;S_Konto.DatevKontoNr;S_Konto.DatevVStAuto;S_DatevKontoSteuer.Steuer;S_DatevKontoSteuer.gueltig_ab;S_DatevKontoSteuer.DatevKontoNr;S_Konto.P_DomTaxNo;S_Konto.I_AccountType;S_Konto.F_AccountAudit;S_Konto.F_DCSign;S_Konto.F_Detail
0;B;;;;yes;no;no;yes;no;1;no;no;no;no;no;no;today;;0;0;;0;?;0;no;no;0;0;0;no;0;no;0;today;0;;0;no;yes;yes
Column;Column Name;Description / Remark;Location in Proalpha;Data Type;Format
1;Konto;Account;S_Konto.Konto;INTEGER;zzzzzzzz;
2;Kontenart;Account Category;S_Konto.KontenArt;CHARACTER;x;
3;Bezeichnung;Description Account;S_KontoSpr.Bezeichnung;CHARACTER;x(70);
4;Suchbegriff;Search Term;S_Konto.Suchbegriff;CHARACTER;x(12);
5;Selektion;Selection;S_Konto.Selektion;CHARACTER;x(20);
6;direkt bebuchbar;Directly Postable;S_Konto.Direkt_Bebuchbar;LOGICAL;ja/nein;
7;Sammelbuchung;Control Posting;S_Konto.SammelBuchung;LOGICAL;Sammel/Einzel;
8;OP-Führung;OI Management;S_Konto.OP_Fuehrung;LOGICAL;ja/nein;
9;ZusatzEB;AddBBP;S_Konto.ZusatzEB;LOGICAL;ja/nein;
10;liquiditätsrelev;Liquidity-Relevant;S_Konto.Liquiditaet;LOGICAL;ja/nein;
11;Liquiditätstag;Day of Liquidity;S_Konto.Liquiditaetstag;INTEGER;99;
12;Eingabezwang Anbu;Req Entry FAA;S_Konto.Eingabezwang_Anbu;LOGICAL;ja/nein;
13;Eingabezwang Kore;Required Entry Cost Accounting Data;S_Konto.Eingabezwang_KoRe;LOGICAL;ja/nein;
14;KostenstellenRechg;Entry Cost Center;S_Konto.KostenStelle;LOGICAL;ja/nein;
15;KostenträgerRechg;Input Release Cost Object;S_Konto.KostenTraeger;LOGICAL;ja/nein;
16;ErgebnisRechg;Input Release Income Object;S_Konto.ErgebnisTraeger;LOGICAL;ja/nein;
17;Anbu;Posting Release FAA;S_Konto.AnBu;LOGICAL;ja/nein;
18;gültig ab;Valid From;S_KontoSteuer.gueltig_ab;DATE;99.99.9999;
19;Steuergebiet;Tax Territory;SBM_TaxTerritory.SBM_TaxTerritory_ID;CHARACTER;x(10);
20;Steuerschlüssel;Tax;S_Steuer.Steuer;INTEGER;zz9;
21;Währung;Currency;S_Konto.Waehrung;INTEGER;zz9;
22;Verteilergruppe;Work Group;BBM_WflWorkGroup.BBM_WflWorkGroup_ID;CHARACTER;x(6);
23;Stammkostenstelle;Master Cost Center;S_Konto.StammKostenStelle;INTEGER;zzzzzzzz;
24;Sammelkonto;Control Account;S_Konto.SammelKonto;INTEGER;zz9;
25;Zustand;Status;BBM_WflLockStatus.BBM_WflLockStatus_ID;INTEGER;zz9;
26;Planwerte Kore;Adoption Budgeted Values CAcc;S_Konto.BudgetMGA;LOGICAL;ja/nein;
27;archiviert;Archived;S_Konto.Archived;LOGICAL;ja/nein;
28;Abgrenzungskonto;Account for Accruals and Deferrals;S_Konto.AccrualAccount;INTEGER;zzzzzzzz;
29;Währung;Currency;SBM_EvaluationAccount.Waehrung;INTEGER;zz9;
30;Bewertungskonto;Valuation Account;SBM_EvaluationAccount.EvaluationAccount;INTEGER;zzzzzzzz;
31;DATEV-AutoKonto;DATEV Automatic Account;S_Konto.DatevAuto;LOGICAL;ja/nein;
32;abw DATEV-Konto;Different DATEV Account;S_Konto.DatevKontoNr;INTEGER;zzzzzzzz;
33;DATEV-VStAutoKonto;DATEV Prepaid Tax Automatic Account;S_Konto.DatevVStAuto;LOGICAL;ja/nein;
34;Steuerschlüssel;Tax;S_DatevKontoSteuer.Steuer;INTEGER;zz9;
35;gültig ab;Valid From;S_DatevKontoSteuer.gueltig_ab;DATE;99.99.9999;
36;abw DATEV-Konto;Different DATEV Account;S_DatevKontoSteuer.DatevKontoNr;INTEGER;zzzzzzzz;
37;inl SteuerNr;Domestic Tax ID;S_Konto.P_DomTaxNo;CHARACTER;x(20);
38;Kontentyp VoZ;Account Type Prepayments;S_Konto.I_AccountType;INTEGER;9;
39;Kontenprüfung;Account Check;S_Konto.F_AccountAudit;LOGICAL;ja  /nein;
40;Soll/Haben;Debit/Credit Indicator;S_Konto.F_DCSign;LOGICAL;S      /H;
41;Detail KtoBlätter;Output General Ledgers in Detail;S_Konto.F_Detail;LOGICAL;ja  /nein;
