S_ArtKunde.Artikel;S_ArtKunde.Kunde;S_ArtKunde.ArtikelNr;S_ArtKunde.Bezeichnung1;S_ArtKunde.Bezeichnung2;S_ArtKunde.Bezeichnung3;S_ArtKunde.Bezeichnung4;S_ArtKunde.LieferBedingung;S_ArtKunde.PreisGruppe;S_ArtKunde.Grundmenge;S_ArtKunde.Mindestmenge;S_ArtKunde.GrundmengeBeachten;S_ArtKunde.uCI_Account;S_ArtKunde.uCW_MinDaysToExp;S_ArtKunde.IndexFormat
;0;;;;;;?;;0;0;no;0;?;
Column;Column Name;Description / Remark;Location in Proalpha;Data Type;Format
1;Teil;Part;S_ArtKunde.Artikel;CHARACTER;x(20);
2;Kunde;Customer;S_ArtKunde.Kunde;INTEGER;zzzzzzzz;
3;Kunden-TeileNr;Customer Part Number;S_ArtKunde.ArtikelNr;CHARACTER;x(22);
4;Bezeichnung1;Customer Part Desc1;S_ArtKunde.Bezeichnung;CHARACTER;x(30);
5;Bezeichnung2;Customer Part Desc2;S_ArtKunde.Bezeichnung;CHARACTER;x(30);
6;Bezeichnung3;Customer Part Desc3;S_ArtKunde.Bezeichnung;CHARACTER;x(30);
7;Bezeichnung4;Customer Part Desc4;S_ArtKunde.Bezeichnung;CHARACTER;x(30);
8;Lieferbedingung;Terms of Delivery;S_ArtKunde.LieferBedingung;INTEGER;zz9;
9;Preisliste;Price Group;S_ArtKunde.PreisGruppe;CHARACTER;x(6);
10;Grundmenge;Order Mult;S_ArtKunde.Grundmenge;DECIMAL;zzz,zzz,zz9.999;
11;Mindestmenge;Minimum Quantity;S_ArtKunde.Mindestmenge;DECIMAL;zzz,zzz,zz9.999;
12;Grundmenge beacht;Respect Ord Multiple;S_ArtKunde.GrundmengeBeachten;LOGICAL;ja/nein;
13;Packmittelpool;Account;S_ArtKunde.uCI_Account;INTEGER;zzzzzzzz;
14;Restlaufzeit;Remaining Life;S_ArtKunde.uCW_MinDaysToExp;INTEGER;zzz9;
15;Nummernformat;Indexformat for customer-part number;S_ArtKunde.IndexFormat;CHARACTER;x(30);
